epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,43.4606,3.36286,2.15624,1.29209,0.24571,0.12234,0.06806,0.01852,3.12669,1.76703,1.25635,0.000665787,0.000665787,0.000665787
2,73.9454,3.22938,1.84856,1.2267,0.25686,0.1305,0.0701,0.01844,3.12221,1.78759,1.21298,0.00130607,0.00130607,0.00130607
3,104.257,3.19503,1.80467,1.21109,0.23096,0.13395,0.06642,0.01697,3.04854,1.82277,1.20601,0.00191996,0.00191996,0.00191996
4,134.84,3.16649,1.77388,1.18597,0.25842,0.13319,0.06915,0.01655,3.03997,1.73889,1.20248,0.0018812,0.0018812,0.0018812
5,165.581,3.12353,1.75706,1.18713,0.2266,0.12022,0.05259,0.01395,3.08341,1.7538,1.22715,0.0018416,0.0018416,0.0018416
6,195.931,3.10916,1.73032,1.17799,0.26613,0.13712,0.07186,0.01804,3.02152,1.68879,1.19299,0.001802,0.001802,0.001802
7,225.349,3.07514,1.71748,1.16594,0.25994,0.13471,0.06892,0.0185,2.98275,1.70455,1.19043,0.0017624,0.0017624,0.0017624
8,255.325,3.08213,1.70154,1.15269,0.25951,0.13698,0.06952,0.01719,2.96795,1.69104,1.18761,0.0017228,0.0017228,0.0017228
9,285.259,3.07375,1.69319,1.1553,0.27767,0.14386,0.08177,0.02044,2.97011,1.66899,1.1753,0.0016832,0.0016832,0.0016832
10,314.932,3.02921,1.68367,1.15702,0.29387,0.14549,0.08345,0.02241,2.97251,1.67683,1.18047,0.0016436,0.0016436,0.0016436
11,344.513,3.04191,1.67481,1.15086,0.28503,0.13828,0.07481,0.01914,2.96303,1.67014,1.18397,0.001604,0.001604,0.001604
12,374.107,3.00391,1.67336,1.14983,0.29549,0.14694,0.08527,0.02275,2.93427,1.65816,1.1778,0.0015644,0.0015644,0.0015644
13,403.409,3.00441,1.66181,1.14685,0.30418,0.14653,0.08716,0.0238,2.95209,1.62744,1.17478,0.0015248,0.0015248,0.0015248
14,432.601,2.99796,1.64346,1.13624,0.27671,0.13824,0.07923,0.02152,2.95148,1.65942,1.17531,0.0014852,0.0014852,0.0014852
15,462.307,3.00183,1.64283,1.13328,0.28738,0.14334,0.07965,0.02032,2.92425,1.6285,1.17131,0.0014456,0.0014456,0.0014456
16,492.024,2.99488,1.65338,1.13701,0.29336,0.14885,0.08484,0.02249,2.91926,1.62882,1.16223,0.001406,0.001406,0.001406
17,521.436,3.00098,1.64118,1.13904,0.3049,0.15066,0.09244,0.02588,2.8988,1.63011,1.16432,0.0013664,0.0013664,0.0013664
18,550.779,2.96602,1.6363,1.1314,0.31753,0.15215,0.09217,0.02463,2.90722,1.61619,1.16402,0.0013268,0.0013268,0.0013268
19,580.129,2.96433,1.62321,1.13345,0.31402,0.15469,0.09314,0.0251,2.9063,1.61087,1.15471,0.0012872,0.0012872,0.0012872
20,609.62,2.94979,1.61172,1.13531,0.30346,0.15028,0.09569,0.0274,2.90374,1.62685,1.17847,0.0012476,0.0012476,0.0012476
21,639.059,2.96688,1.62468,1.1245,0.32186,0.1541,0.09881,0.02648,2.91269,1.59252,1.14931,0.001208,0.001208,0.001208
22,668.704,2.9588,1.60928,1.12577,0.31049,0.15282,0.08923,0.02366,2.88946,1.59853,1.15915,0.0011684,0.0011684,0.0011684
23,697.891,2.95029,1.59697,1.12217,0.32307,0.15386,0.09329,0.02474,2.90955,1.58971,1.15842,0.0011288,0.0011288,0.0011288
24,727.08,2.92116,1.59994,1.12641,0.3306,0.15641,0.09918,0.02719,2.88055,1.58973,1.15725,0.0010892,0.0010892,0.0010892
25,756.327,2.97286,1.60462,1.12162,0.32636,0.15641,0.09891,0.02748,2.86968,1.59474,1.1433,0.0010496,0.0010496,0.0010496
26,785.637,2.93676,1.59195,1.12311,0.32804,0.1524,0.09476,0.02614,2.87248,1.59325,1.16039,0.00101,0.00101,0.00101
27,814.756,2.90967,1.58717,1.12247,0.33279,0.15513,0.09658,0.02675,2.86539,1.57488,1.15622,0.0009704,0.0009704,0.0009704
28,844.264,2.94155,1.59645,1.12678,0.33368,0.15995,0.09924,0.02726,2.87112,1.57524,1.15904,0.0009308,0.0009308,0.0009308
29,873.795,2.91262,1.57122,1.10607,0.34362,0.15563,0.10339,0.02889,2.8631,1.57449,1.15172,0.0008912,0.0008912,0.0008912
30,903.347,2.91935,1.57075,1.11031,0.32425,0.1553,0.09407,0.02549,2.85988,1.59248,1.14962,0.0008516,0.0008516,0.0008516
31,932.756,2.90788,1.57298,1.10873,0.32998,0.15775,0.10014,0.02821,2.86293,1.58587,1.1417,0.000812,0.000812,0.000812
32,961.859,2.91551,1.56939,1.11539,0.34392,0.15942,0.10547,0.02952,2.86523,1.56013,1.1465,0.0007724,0.0007724,0.0007724
33,991.399,2.91821,1.57201,1.10725,0.30271,0.15189,0.08386,0.02184,2.87975,1.59917,1.15255,0.0007328,0.0007328,0.0007328
34,1020.83,2.91708,1.57243,1.10918,0.32801,0.15827,0.09133,0.02411,2.86655,1.56362,1.14705,0.0006932,0.0006932,0.0006932
35,1050.23,2.89859,1.5642,1.10496,0.33721,0.15779,0.09757,0.02604,2.84536,1.56439,1.14808,0.0006536,0.0006536,0.0006536
36,1079.48,2.87202,1.56263,1.1134,0.33574,0.16007,0.09917,0.02667,2.83559,1.56845,1.14006,0.000614,0.000614,0.000614
37,1109.15,2.89245,1.56,1.10879,0.35359,0.1614,0.10535,0.02891,2.84308,1.56094,1.14059,0.0005744,0.0005744,0.0005744
38,1138.64,2.89461,1.55093,1.10758,0.34713,0.15874,0.10237,0.02802,2.84233,1.56892,1.14857,0.0005348,0.0005348,0.0005348
39,1167.72,2.86483,1.56023,1.10732,0.33156,0.16007,0.10024,0.0274,2.83628,1.57025,1.14365,0.0004952,0.0004952,0.0004952
40,1197.05,2.86135,1.54787,1.10296,0.35128,0.16199,0.10603,0.02919,2.84263,1.54019,1.14677,0.0004556,0.0004556,0.0004556
41,1225.22,2.82186,1.58894,1.1265,0.34637,0.15612,0.10249,0.02941,2.83818,1.56753,1.13686,0.000416,0.000416,0.000416
42,1253.07,2.83094,1.58268,1.12344,0.33688,0.15663,0.10079,0.02914,2.83606,1.56469,1.13496,0.0003764,0.0003764,0.0003764
43,1280.77,2.81542,1.57338,1.12486,0.34169,0.1586,0.10322,0.0284,2.84297,1.5671,1.15375,0.0003368,0.0003368,0.0003368
44,1308.43,2.83295,1.5764,1.11998,0.34151,0.15905,0.10027,0.02731,2.84454,1.56767,1.13895,0.0002972,0.0002972,0.0002972
45,1335.81,2.80005,1.56524,1.13001,0.3443,0.1589,0.10283,0.02815,2.82592,1.56071,1.14234,0.0002576,0.0002576,0.0002576
46,1363.33,2.81264,1.5644,1.11721,0.35122,0.16175,0.10694,0.02934,2.83242,1.55401,1.14677,0.000218,0.000218,0.000218
47,1390.98,2.81963,1.55487,1.11261,0.35358,0.16145,0.10609,0.0291,2.83123,1.54764,1.13816,0.0001784,0.0001784,0.0001784
48,1418.59,2.81107,1.56033,1.11309,0.35397,0.16386,0.10747,0.02969,2.82017,1.54851,1.14303,0.0001388,0.0001388,0.0001388
49,1446.11,2.80315,1.54792,1.11467,0.3526,0.16278,0.10502,0.02887,2.82225,1.54908,1.1396,9.92e-05,9.92e-05,9.92e-05
50,1473.62,2.80015,1.54524,1.11165,0.34614,0.15979,0.10157,0.02774,2.83026,1.55321,1.14041,5.96e-05,5.96e-05,5.96e-05
